Month,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Gateway to Nature Center,Firehouse Museum,Hellman Quon,IAMLA,Pico House ,Visitor Center/ El Tranquilo Gallery,Museum of Social Justice,Biscailuz Gallery/ PK Outdoor Exhibit
Jan 2014,6602,24778,1581,,4486,0,,2204,2961,,
Feb 2014,5029,18976,1785,,4172,0,,1330,2276,,
Mar 2014,8129,25231,3229,,7082,70,,4320,3116,,
Apr 2014,2824,26989,2129,,6756,250,,3277,2808,,
May 2014,10694,36883,3676,,10858,135,,4122,3987,,
Jun 2014,11036,29487,2121,,5751,255,,355,3133,,
Jul 2014,13490,32378,2239,,5406,120,,3375,3527,,
Aug 2014,9139,37680,1769,,8619,250,,1550,0,,
Sep 2014,5661,28473,1073,,61192,1145,,1335,0,,
Oct 2014,7356,27995,1979,,6488,550,,1518,0,,
Nov 2014,9773,25691,2404,,4189,410,,7769,0,,
Dec 2014,7184,18754,1319,,4339,565,,1140,0,,
Jan 2015,6250,20438,1823,,3858,75,,200,2082,,
Feb 2015,5907,15578,1558,,3742,160,,1075,2751,,
Mar 2015,9884,21297,2336,,5390,325,,3445,2748,,
Apr 2015,7254,26670,3057,,7000,2000,,3292,3408,,
May 2015,13207,34383,4009,,12528,475,,5042,3785,,
Jul 2015,11072,41242,3057,,6111,100,,4225,4233,,
Jun 2015,11102,30569,2544,,5377,200,,4552,3444,,
Aug 2015,12096,30700,2415,,5383,50,,5974,3606,,
Sep 2015,6608,20967,1398,,5746,125,,700,3323,,
Oct 2015,12524,29764,2237,,8882,750,,4158,3209,,
Nov 2015,6677,24483,2850,,6848,950,,9312,13750,,
Dec 2015,5967,21426,2075,,4502,120,,170,3367,,
Jan 2016,6587,19659,2150,,4377,50,,250,2940,,
Feb 2016,6955,17378,2547,,3675,60,,0,2288,,
May 2017,7556,30029,5585,2581,8733,,863,500,2582,,930
Jun 2017,6818,22169,2946,3248,4862,,872,40,2372,,891
Mar 2016,9979,20322,7702,,6334,,,0,3839,,
Aug 2016,6245,25987,2153,,5181,,930,475,2723,,
Sep 2016,6977,22897,1754,,4736,,857,325,1221,,
Oct 2016,6282,25040,2607,,6145,,1009,1210,1769,,760
Nov 2016,6365,17760,2248,,3930,,863,0,1420,,1162
Dec 2016,5223,20107,2263,,3911,,772,715,973,,692
Jan 2017,4929,18792,2531,,3551,,556,610,1325,,518
Feb 2017,4493,14035,2139,,3491,,619,895,1049,,879
Mar 2017,6271,20680,5966,3116,5273,,736,625,1366,,814
Apr 2017,6685,25234,3273,3440,5320,,668,425,3070,,1124
May 2016,7757,31728,4565,,9315,,,265,3408,,
Jun 2016,6751,23696,3034,,4918,,,220,1876,,
Apr 2016,5113,24521,3485,,6509,,,50,2797,,
Jul 2016,12188,31689,2776,,5602,,,215,2951,,
Jul 2017,8675,30831,2939,4227,5242,,1431,295,2771,,1156
Aug 2017,6212,27009,1784,2650,5379,,1194,635,2182,,862
Sep 2017,4607,23403,1704,1825,4484,,758,920,2130,,960
Oct 2017,6097,22164,2419,1250,4822,,1351,3580,,,536
Nov 2017,6757,17629,2685,1476,4613,,1088,415,,,1586
Dec 2017,6780,18339,2768,1316,4448,,1205,605,,,1292
Mar 2018,4909,19001,4529,,5225,,965,1645,,3348,1320
Feb 2018,5705,14718,2710,,3306,,1562,900,,3621,1148
Apr 2018,4650,18966,2750,,4535,,1109,1155,,2956,1790
Jan 2018,5837,16265,2477,,3910,,1069,,,3585,1141
May 2018,5626,25173,4960,,8013,,1601,250,,2332,1628
Jun 2018,4694,22171,2518,,4635,,1232,410,,2351,1434
Jul 2018,4718,23136,2620,,4191,,1323,327,,3686,1422
Aug 2018,3891,20815,2409,,4866,,1147,1119,,2604,1331
Sep 2018,3180,21020,2146,,4956,,1031,2140,,2670,926
Oct 2018,3775,19280,2364,,4622,,1159,1975,,3055,1210
Nov 2018,4562,17163,2385,,4082,,1078,1680,,2919,822
Dec 2018,4081,17722,2078,,4253,,1168,185,,2694,349
Jan 2019,3424,13958,2330,,3608,,837,4225,,2670,
Feb 2019,2907,10737,2371,,2900,,816,475,,2080,406
Mar 2019,4384,17056,3804,,5045,,1315,925,,2819,1038
Apr 2019,4830,21074,3484,2055,5204,,1336,,,1933,
May 2019,6230,26041,4570,2699,8202,,1883,290,,1959,
Jun 2019,3995,20226,2853,1065,4787,,1177,1800,,2557,933
Jul 2019,4491,24097,2271,999,4432,,1480,90,,2911,774
Aug 2019,3410,20921,2017,977,4460,,1258,120,,1701,872
Sep 2019,3229,17689,1458,1338,4293,,904,740,,2722,569
Oct 2019,4200,18822,1987,1269,4035,,1181,1080,,2878,871
Nov 2019,4362,15507,2808,1566,4385,,1472,225,,10740,1976
Dec 2019,2702,15398,2388,1211,3566,,1088,485,,1948,
Jan 2020,3508,15518,2603,695,3403,,1357,125,,2958,
Feb 2020,3075,12997,2425,652,3854,,1081,150,,2591,
Mar 2020,1062,4520,524,261,1052,,260,140,,373,
Apr 2020,0,0,0,0,0,,0,0,,0,
May 2020,0,0,0,0,0,,0,0,,0,
Jun 2020,0,0,0,0,0,,0,0,,0,
Jul 2020,0,0,0,0,0,,0,0,,0,
Aug 2020,0,0,0,0,0,,0,0,,0,
Sep 2020,0,0,0,0,0,,0,0,,0,
Oct 2020,0,0,0,0,0,,0,0,,0,2533
Nov 2020,0,0,0,0,0,,0,0,,0,3801
Dec 2020,0,0,0,0,0,,0,0,,0,0
Jan 2021,0,0,0,0,0,,0,0,,0,0
Feb 2021,0,0,0,0,0,,0,0,,0,0
Mar 2021,0,0,0,0,0,,0,0,,0,0
Apr 2021,0,0,0,0,0,,0,0,,0,0
May 2021,0,0,0,0,0,,0,0,,4710,0
Jun 2021,1047,3710,0,0,1159,,227,0,,3235,0
Jul 2021,0,7933,0,0,2083,0,602,0,0,1872,0
Aug 2021,892,6214,0,0,1491,0,416,0,0,1591,0
Sep 2021,2225,5500,193,0,1370,0,482,0,0,817,0
Oct 2021,2807,7201,502,0,1762,0,515,0,0,1347,0
Nov 2021,2192,6916,676,0,1846,0,609,0,0,756,0
Dec 2021,1089,4128,476,0,967,0,380,0,0,301,0
Jan 2022,786,3756,455,0,823,0,353,0,0,277,0
Feb 2022,1325,4202,647,0,1006,0,387,0,0,534,0
Mar 2022,1499,6299,681,561,1494,0,398,0,0,614,0
Apr 2022,2786,11747,1183,0,2904,0,716,0,0,1232,0
May 2022,2126,12084,1136,0,3052,0,760,0,0,1242,0
Jun 2022,1542,10443,1208,0,2846,0,793,0,0,1558,0
Jul 2022,1126,13924,1247,0,3410,0,616,0,0,2166,0
Aug 2022,1726,10307,802,0,3118,0,575,0,0,1116,0
Sep 2022,2024,9670,862,0,2703,0,466,0,0,1481,0
Oct 2022,2850,12551,1160,0,3404,0,830,0,0,1929,0
Nov 2022,3139,12122,1001,550,3409,0,945,0,0,1295,0
Dec 2022,2336,9952,761,425,2580,0,845,0,0,1205,0
Jan 2023,2184,8653,808,0,2033,0,2033,0,0,1148,0
Feb 2023,2227,8669,1986,0,2679,0,2679,0,0,758,0
Mar 2023,2283,10585,2044,0,2963,0,2963,0,0,1711,0
Apr 2023,3389,14393,2413,0,3705,0,3705,0,0,1953,0
May 2023,3816,16085,3468,0,5565,0,5565,0,0,2300,0
Jun 2023,2227,13604,1983,0,3733,0,3733,0,0,1859,0
Jul 2023,2057,13607,1768,0,2589,0,777,1250,0,2357,0
Aug 2023,1470,11413,1428,0,3537,0,866,0,0,1070,0
Sep 2023,1478,11970,1057,0,2639,0,652,0,0,1622,0
Oct 2023,2822,12195,1607,6000,3609,0,689,0,0,1717,0
Nov 2023,2633,11200,2178,0,3343,0,671,0,0,1541,0
Dec 2023,1594,10949,1653,555,3032,0,680,0,0,1128,0
Jan 2024,1678,9326,1294,0,2297,0,689,0,0,1262,0
Feb 2024,1694,8347,1829,0,2288,0,811,0,0,1067,0
Mar 2024,2694,12061,2162,0,3176,0,904,0,0,1743,0
Apr 2024,2855,12015,2072,0,3737,0,1027,0,0,1325,0
May 2024,3540,16074,2962,0,5430,0,1525,0,0,2592,0
Jun 2024,1755,12323,1491,0,2957,0,793,2700,0,1821,0
Jul 2024,2193,14472,2228,0,3582,0,716,231,0,1809,0
Aug 2024,2015,13104,1394,0,2988,300,753,0,0,1450,0
Sep 2024,2213,12650,1117,0,2247,500,778,0,0,1652,0
Oct 2024,3027,13063,2060,0,3826,0,758,0,0,1715,0
Nov 2024,2252,13122,1795,0,3821,0,1095,0,0,2303,0
Dec 2024,2188,12212,1710,0,2382,0,705,0,0,1661,0
Jan 2025,1258,7573,1332,0,1763,0,566,0,0,1510,0
Feb 2025,1423,8121,1515,0,2006,0,680,0,0,1047,0
Mar 2025,2714,12472,2264,0,3160,0,871,0,0,2492,0
Apr 2025,2787,14234,2429,0,3158,0,1040,0,0,1562,0
